book_id,isbn,bookId,author_id,book_type,type_id,book_name,author_name,introduction,total_r,weekly_r,words_count,logo,score
15899,zh1331001,1331001,50739589,历史,3,开局救了大唐皇后,风雨旖旎,这不是普通的穿越小说，主角有不受控制的时间机器，穿梭于历史现在和未来，却发现历史与未来的秘密与自己紧紧关联。,0.0,0.0,53000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2232248741,4079590804&fm=179&app=35&f=JPEG?w=267&h=357&s=80F77790564378EC46619C430300B0F1",5.6
16403,zh1326871,1326871,53842823,仙侠,4,江湖上最后一个书生,王羽焉,"三十年前,周朝国势衰落,九国割据。燕、赵二国位于边陲,天子无暇顾及，遂常受到齐国欺凌。而后齐王逼迫燕、赵进献女子和人质,燕、赵奋起反抗,却惨遭齐国镇压。二十年前,燕将军之子宁我行获得""文圣石""认可,苦读兵书,成为""书生""修士。他联合燕、赵,建立军事化国家""燕赵联盟"",反攻齐国。其余七国联合抵抗,借助域外散修暗杀宁我行,才遏制燕赵。从此,七国视""书生""为大敌。十年后,应招夜巡者的王羽焉意外获""文圣石""认可,再次成为天下唯一一个""书生""修士，他能否凭""书生""之力,再谱写出一段传奇。修炼体系:在这个世界,朝廷知晓的修炼分为四大途径:一是自然途径,包括萨满和兽灵，修士与自然结合,引导天地灵气淬炼自身。二是信仰途径,如学佛和修道，修士通过修心养性,参悟天道法则,获得力量。三是武夫途径,分为肉身和兵器两支。修士淬炼肉身或兵器。四是学识途径,也叫书生途径，已经失传百年。修士须博览群书,借助""文圣石""悟道,以知识养力。据说当年横扫八国的宁我行,就是一位恐怖的书生修士。还有许多未知的修炼途径比如刺杀宁我行的海外刺客等等也将随故事逐渐展开。",0.0,0.0,53000,"https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=2706051310,1233075972&fm=179&app=35&f=JPEG?w=267&h=356&s=ECE7B54454638DFF0014FC9301001080",5.2
16071,zh1317172,1317172,53744754,玄幻,2,我的武魂是铠甲勇士,明问君心,世间武魂共分九品。一至三品为凡，四至六品化灵，七至九品称天！少年自苍风王朝走出，骑天魔鹰，闯向了更加精彩广阔的世界。天帝之路，谁主沉浮？天武大陆，万道争锋。吾为天帝，当镇压世间一切敌！,18.0,0.0,54000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2493080214,278563398&fm=179&app=35&f=JPEG?w=267&h=356&s=A3C065A4026386FC40012C1C0300E0D0",5.2
17819,zh1282709,1282709,55518210,仙侠,4,轻侠挽倾,徐途,"屹山之下，清泉谷中。
天下第一的宝刀云侯化做人形。人性、妖性竟同时存在于一人心中。
刀上侵透骨髓的妖血和记忆中的失传武学，造就出一个亦正亦邪，时仙时妖之人。",160.0,0.0,55000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2331874377,1467034673&fm=179&app=35&f=JPEG?w=267&h=356&s=E5AABB57CC5163E5D8387903010030E2",5.2
15689,zh1328304,1328304,56221021,玄幻,2,开局气疯系统，废物逆袭无敌,南康奈,【魂穿+系统+爽文+玄幻+修仙】开局获得万年修为，一步成圣“这家伙不就是个傻子吗，还想结婚？”台下的谢家内院弟子嘲笑着婚堂之上的谢家圣体。张峦随手一挥，数以百计的亡灵横飞向婚闹者。“逆我者，死！”操控亡灵的人，也掌握了修仙者的生死。,0.0,0.0,56000,"https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=2661999670,4257788638&fm=179&app=35&f=JPEG?w=267&h=356&s=E8C2FC005CD777FFD1B0099B010050A2",5.4
16691,zh999504,999504,50819639,都市,11,都市仙婿,浮沉仙人,"【交流群：642491872！另有老书《玉京天》可赏阅】
虽为赘婿，自命不凡；强势逆袭，登临巅峰！
且看沈麟如何叱咤这片星空！横行诸天星域！",6824.0,0.0,57000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=146376719,1480737717&fm=179&app=35&f=JPEG?w=200&h=260&s=E6222EE75480BEFA30E9CC1C03005040",6.1
15867,zh1327468,1327468,82044501,玄幻,2,我在诸天开黑店,既见君子,江湖传言，有一家名为八号客栈的黑店，凡是进去，都得脱一层皮。你要么掏空金银财宝，要么交出身上功法，总之，须得拿最珍贵的物品交给掌柜的，才出得来。唯一的好处嘛，就是不论你被谁追杀，但凡进店消费，那模样俊秀的青年掌柜都会护你周全。可这并不能掩盖它是家黑店的事实！身为掌柜的，顾长风真的很委屈很愤怒。“在我家店里，客人就是上帝啊，上帝这么有钱，给点好的又怎么了？我的服务难道不值这个价吗？”“污蔑，你们肯定是嫉妒我，这是恶意竞争！”看着堆满后院的奇珍异宝，顾长风如是说。---------------,0.0,0.0,57000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2989909209,3465066&fm=179&app=35&f=JPEG?w=267&h=356&s=0DC7ED041B31B3E90E65489E010010C2",5.4
15462,zh964852,964852,9165211,都市,11,天使战疫,十阶浮屠,"一场疫情悄然席卷全球，恐惧、慌乱笼罩在每个人的心头，但有一群人却迎在难而上、负重前行，甚至不惜献出自己的生命，终于让所有人都意识到，原来！天使一直都在我们身边……
（这是一个真实的故事，发生在我身边的抗疫故事！）",92.0,0.0,60000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=217897453,2710619595&fm=179&app=35&f=JPEG?w=240&h=320&s=97A080AA0893FBF7440A45FB0300701E",5.4
20223,zh1312392,1312392,56286891,奇闻轶事,9,规则怪谈：我能看见隐藏规则,刻在石头上的星星,"（惊悚＋怪谈＋直播＋国运＋系统）
当夜晚天空中的月亮变成鲜红色，当满天飞舞着令人寒毛竖起的飞蛾……
便是诡异复苏，怪谈降临的时刻。
身为华国的江翼，被怪谈世界选中，如果在怪谈中死亡，那他所代表的华国也将被诡异入侵……第一个怪谈：R1344列车［列车乘坐手册］［1.请保管好列车票，当列车员检票时请及时出示。］［2.如果车票丢失，请马上下车离开，否则将会出现恐怖的事情。］［3.请不要离开列车。］［4.本节车厢只有6位乘客。］［5.请不要注视卫生间的镜子超过5秒。］［6.本节车厢没有婴儿，如果听见婴儿哭声请无视。］……",0.0,0.0,60000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2019089506,2352431005&fm=179&app=35&f=JPEG?w=267&h=356&s=4C782CC614031EFD52182CBD03008002",8.1
20318,zh1312751,1312751,56260974,游戏,8,LOL：这个打野太听劝了,爱鱼鱼鱼,"“我叫苏白，我是一名穿越者，请问我刚穿越就被RNG劝退，天赋平平，打法稳健，还有机会继续打职业吗？”
“建议楼主觉醒标配金手指，然后给LCK每个队伍都投一份简历，说不定就有机会继续打职业了。”
人在联盟，作为穿越者的苏白自曝身份，希望得到众多网友们的帮助。
面对网友们的调侃，苏白主打的就是一个听劝，在众多LCK队伍中投放简历，最终因稳健的打法风格被ROX选中替补打野，继续了自己的职业生涯。
“请问，我是苏白，金手指已经觉醒成功，并且成功入职ROX，但是我只能稳坐饮水机，请问怎么才能打上首发？”
“食肉型打野的天下，稳健有用？先去练练入侵野区1000次，在不阵亡的情况下反掉1000组野怪！”
当众人疑惑，作为稳健打法才被ROX选中的苏白，为何要突然选择改变风格？
不过，当喝了樱花国进口水的小花生拉稀后，苏白首次临时出任首发打野。
开启了自己别样的LCK征途..
而三年后，当苏白以三连FMVP的角色站在全球总决赛的舞台上时，众人不禁发出一个疑问：
难道贴吧的那个楼主，真是苏白，真是穿越者？
苏白很庆幸，如果不是自己听了当年那个贴吧老哥的劝告，自",0.0,0.0,60000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3864976193,691405307&fm=179&app=35&f=JPEG?w=267&h=356&s=27F014884A1235FD4E2174B703007090",6.1
